,choices_revealed,losses,simulation_no,stays,switches,wins
0,1,4959,0,5019,4981,5041
1,2,4916,0,5071,4929,5084
2,3,4912,0,5017,4983,5088
3,4,4879,0,4991,5009,5121
4,5,4841,0,5058,4942,5159
5,6,4925,0,4915,5085,5075
6,7,4843,0,4996,5004,5157
7,8,4802,0,5045,4955,5198
8,9,4787,0,4878,5122,5213
9,10,4714,0,4953,5047,5286
10,11,4627,0,4991,5009,5373
11,12,4632,0,4988,5012,5368
12,13,4532,0,5094,4906,5468
13,14,4697,0,5005,4995,5303
14,15,4601,0,5014,4986,5399
15,16,4554,0,5058,4942,5446
16,17,4400,0,4980,5020,5600
17,18,4421,0,5022,4978,5579
18,19,4329,0,4980,5020,5671
19,20,4287,0,5070,4930,5713
