,choices_revealed,losses,simulation_no,stays,switches,wins
0,1,4941,3,5007,4993,5059
1,2,4966,3,4948,5052,5034
2,3,4888,3,5135,4865,5112
3,4,4777,3,5125,4875,5223
4,5,4951,3,4842,5158,5049
5,6,4839,3,4963,5037,5161
6,7,4762,3,5050,4950,5238
7,8,4728,3,4989,5011,5272
8,9,4814,3,4994,5006,5186
9,10,4785,3,5109,4891,5215
10,11,4684,3,5047,4953,5316
11,12,4666,3,5080,4920,5334
12,13,4642,3,4985,5015,5358
13,14,4628,3,4914,5086,5372
14,15,4494,3,5015,4985,5506
15,16,4499,3,5030,4970,5501
16,17,4567,3,5021,4979,5433
17,18,4508,3,5051,4949,5492
18,19,4375,3,5083,4917,5625
19,20,4482,3,4995,5005,5518
